DISTRICT,ARSON_mean,ARSON_std,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_mean,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_std,ATTEMPT TO MURDER_mean,ATTEMPT TO MURDER_std,BURGLARY_mean,BURGLARY_std,CAUSING DEATH BY NEGLIGENCE_mean,CAUSING DEATH BY NEGLIGENCE_std,CHEATING_mean,CHEATING_std,COUNTERFIETING_mean,COUNTERFIETING_std,CRIMINAL BREACH OF TRUST_mean,CRIMINAL BREACH OF TRUST_std,CRUELTY BY HUSBAND OR HIS RELATIVES_mean,CRUELTY BY HUSBAND OR HIS RELATIVES_std,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_mean,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_std,DACOITY_mean,DACOITY_std,DOWRY DEATHS_mean,DOWRY DEATHS_std,HURT/GREVIOUS HURT_mean,HURT/GREVIOUS HURT_std,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_mean,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_std,INSULT TO MODESTY OF WOMEN_mean,INSULT TO MODESTY OF WOMEN_std,KIDNAPPING & ABDUCTION_mean,KIDNAPPING & ABDUCTION_std,MURDER_mean,MURDER_std,OTHER IPC CRIMES_mean,OTHER IPC CRIMES_std,RAPE_mean,RAPE_std,RIOTS_mean,RIOTS_std,ROBBERY_mean,ROBBERY_std,THEFT_mean,THEFT_std,TOTAL IPC CRIMES_mean,TOTAL IPC CRIMES_std
MAINPURI,5.857142857142857,8.968810424998425,34.5,24.641272444667052,104.35714285714286,25.00032966815605,54.92857142857143,21.882428095178543,116.57142857142857,105.41107392249882,69.64285714285714,31.626685769255886,2.2857142857142856,1.8985245861972937,32.357142857142854,14.350594428091139,45.285714285714285,25.34205556421539,19.571428571428573,5.2140975428939935,13.071428571428571,16.81329275266487,36.07142857142857,6.354456772936683,196.78571428571428,26.068485457846105,0.0,0.0,5.428571428571429,7.313993812856659,82.28571428571429,42.2473095573572,96.92857142857143,24.48693304825841,627.9285714285714,156.61243898220872,14.285714285714286,7.405076963486931,66.42857142857143,24.880373128893524,42.714285714285715,18.938883776012744,235.28571428571428,116.78344757016563,1924.357142857143,430.05019512804586
MAJITHA,2.3333333333333335,2.065591117977289,8.333333333333334,4.844240566555986,26.5,6.833739825307955,29.666666666666668,9.309493362512628,81.66666666666667,3.829708431025352,66.33333333333333,24.130202375170143,2.5,2.588435821108957,6.5,3.271085446759225,20.833333333333332,5.845225972250061,5.5,3.5071355833500366,0.3333333333333333,0.816496580927726,5.333333333333333,2.250925735484551,144.83333333333334,31.8710945319841,0.0,0.0,0.5,0.8366600265340756,15.166666666666666,4.02077936060494,36.0,9.273618495495704,170.66666666666666,39.46981969387075,11.0,2.280350850198276,0.0,0.0,2.8333333333333335,2.136976056643281,53.0,13.221195104830729,691.8333333333334,106.41694727188272
MALAPPURAM,23.5,10.286286614113584,164.5,77.80028673073522,28.642857142857142,9.043545448866517,298.2142857142857,86.66574034444378,24.214285714285715,84.86929187460387,304.42857142857144,83.88427402422596,4.714285714285714,4.681034918913542,20.714285714285715,8.63292954491536,540.2142857142857,89.31980448101903,9.214285714285714,8.594976810534533,6.928571428571429,4.008918628686366,1.0,1.1766968108291043,827.3571428571429,232.02606191243564,0.0,0.0,17.285714285714285,12.015557680508483,13.5,4.6201898062908455,21.357142857142858,5.001648080031574,5281.785714285715,3356.698267381469,63.785714285714285,23.426410380096716,643.9285714285714,139.13770947447063,31.214285714285715,15.17172761030591,355.35714285714283,77.53372183752062,9581.142857142857,4334.652214904424
MALDA,7.071428571428571,13.041143683413223,122.35714285714286,74.3439068351703,160.35714285714286,181.13089493209353,11.642857142857142,8.508883528471811,74.57142857142857,115.76748200643344,49.285714285714285,46.73728304441355,34.857142857142854,33.59454429804647,4.928571428571429,5.567270919804917,401.0,260.5122173423262,25.785714285714285,6.82955760960087,5.785714285714286,3.14223270519966,9.357142857142858,7.302340434694607,345.2142857142857,362.49757104150234,0.0,0.0,3.4285714285714284,8.121332646557704,132.85714285714286,105.118143894497,78.57142857142857,22.819405661087558,1297.5,678.8723398741135,123.07142857142857,63.42950573512456,54.57142857142857,17.372455146069537,17.571428571428573,5.40248213202165,351.64285714285717,62.71376629988417,3361.0714285714284,1617.9312272293764
MALKANGIR,6.0,4.760952285695233,28.76923076923077,10.955621434936543,29.23076923076923,8.525978400882076,18.53846153846154,4.389673196176541,18.615384615384617,4.941970955304869,11.923076923076923,16.193936820414912,0.15384615384615385,0.3755338080994054,5.6923076923076925,4.819830830098628,11.615384615384615,3.969434500833872,1.7692307692307692,2.5545334262132924,8.538461538461538,7.113547926496603,2.0,1.9578900207451218,36.0,28.254793103707794,0.0,0.0,3.230769230769231,2.4205318339105477,10.153846153846153,6.926352501451176,38.07692307692308,5.544690229723364,128.3846153846154,50.38276567362175,14.0,3.5118845842842465,28.76923076923077,17.46975408219325,5.0,1.7320508075688772,41.15384615384615,10.172234708969262,447.61538461538464,63.94077788800411
MAMIT,1.9285714285714286,2.8679739756969074,2.857142857142857,2.0701966780270626,1.2142857142857142,1.4769288003552106,17.642857142857142,9.540255946067878,2.0,1.8810798862519205,1.3571428571428572,1.3363062095621219,0.5714285714285714,1.0163498575623617,0.5,0.8548504142651103,1.2142857142857142,4.003432593097144,0.42857142857142855,0.5135525910130955,0.7857142857142857,0.6992932067530678,0.0,0.0,7.0,4.739360554076727,0.14285714285714285,0.5345224838248488,0.0,0.0,0.9285714285714286,0.9168747682531898,2.4285714285714284,1.3424596091494905,13.571428571428571,9.685153473342474,4.428571428571429,3.3903547741358127,0.14285714285714285,0.36313651960128146,1.5714285714285714,3.412968158121557,21.5,8.38267444013131,82.28571428571429,21.609928528086595
MANDI,24.571428571428573,7.531618333749708,63.714285714285715,14.122696252860125,7.571428571428571,2.027286390693261,88.21428571428571,15.8705269721464,63.42857142857143,7.977991705206998,33.5,18.52129751228195,0.2857142857142857,0.6112498455021266,12.071428571428571,12.946423834785039,39.57142857142857,11.60712172441018,0.5,0.6504436355879909,0.2857142857142857,0.6112498455021266,0.35714285714285715,0.633323693776651,148.07142857142858,45.23011979050837,0.0,0.0,8.0,5.14407799916938,18.428571428571427,13.119065900813599,12.571428571428571,4.38027546928423,1130.5,169.44195738681998,24.214285714285715,9.463928046320623,63.142857142857146,16.185735138634328,1.6428571428571428,1.336306209562122,78.07142857142857,18.436853918648442,1844.2857142857142,163.9828455246878
MANDLA,5.357142857142857,3.45536690375428,97.5,25.836021365527625,15.071428571428571,4.066075138627794,88.07142857142857,32.506719508231114,71.42857142857143,20.91636931913628,15.714285714285714,6.5448578926638925,0.07142857142857142,0.2672612419124244,1.9285714285714286,1.3280573269766118,33.642857142857146,16.786474146934914,1.2142857142857142,1.5776599725577718,0.35714285714285715,0.633323693776651,3.7857142857142856,1.5281246137553164,317.35714285714283,54.528196154138264,0.0,0.0,10.5,4.831785782312151,16.571428571428573,35.93950961891873,30.571428571428573,6.81304501802112,1054.7857142857142,223.37177652839344,56.857142857142854,13.993719156256347,10.928571428571429,6.661765597731646,6.071428571428571,2.5256921584232868,70.0,22.705472061563963,1911.5714285714287,262.626296148294
MANDSAUR,19.571428571428573,6.835588835299759,125.85714285714286,21.2525370172676,38.285714285714285,11.756690870299357,163.0,36.54712447912021,101.71428571428571,35.432337623286294,30.428571428571427,10.263559779173077,1.7857142857142858,1.7619295117556786,25.928571428571427,14.55738927203578,76.64285714285714,39.87597530585812,0.14285714285714285,0.36313651960128146,2.2857142857142856,1.728875643015133,6.357142857142857,3.2250734722016645,255.85714285714286,96.81294981947019,0.8571428571428571,2.656114653953224,11.928571428571429,4.890560542267361,30.142857142857142,32.27968435375448,31.428571428571427,6.687695770986799,1906.7857142857142,567.2576647712732,48.92857142857143,15.696468420607255,41.57142857142857,16.951125606892873,28.071428571428573,10.795043632749568,360.5,65.84334555477992,3357.785714285714,712.7095835959066
MANDYA,16.928571428571427,24.27554732240239,101.0,70.22491339644687,58.92857142857143,14.662690936335851,223.71428571428572,58.73464260347756,27.5,102.89557813628339,54.214285714285715,38.371019856594444,2.142857142857143,1.70326125450528,8.857142857142858,4.521013209399022,118.35714285714286,57.77490424431322,1.5714285714285714,1.554857684028483,7.0,4.437601569801833,11.5,4.201648028315336,1013.2142857142857,376.7597027634107,0.07142857142857142,0.2672612419124244,1.3571428571428572,3.272428946331946,28.214285714285715,22.52580937307443,60.5,14.086272641230432,2270.4285714285716,522.8466041092468,23.071428571428573,8.453167687680399,277.85714285714283,64.36895709394891,38.214285714285715,25.12485306938613,391.14285714285717,122.38266414617911,4832.357142857143,1022.2173189947173
