DISTRICT,Trend_Slope
BHABHUA,65.07032967032967
JALNA,64.16483516483515
PURULIA,64.1032967032967
THRISSUR,63.10909090909094
RAJOURI,62.70989010989012
KAITHAL,62.536263736263734
RAJNANDGAON,62.25934065934067
LAKHISARAI,62.182417582417585
KANPUR DEHAT,61.67650050864698
AMRITSAR,61.636363636363676
SIHORE,61.33516483516484
SALEM URBAN,59.181318681318686
SURAJPUR,59.09090909090908
LAKHIMPUR,58.92527472527473
MUMBAI RLY.,58.73626373626374
RAJGARH,58.45054945054944
RAMNATHAPURAM,58.33186813186813
HARDA,57.745054945054946
KURUKSHETRA,57.55164835164836
KODERMA,57.36703296703297
SOUTH GOA,57.23736263736264
TAPI,56.96428571428571
BURHANPUR,56.91258741258739
MAYURBHANJ,56.826373626373616
KOPPAL,55.1978021978022
BERHAMPUR,55.180219780219765
AZAMGARH,55.153846153846146
BADDIPOLICEDIST,55.10000000000001
DATIYA,54.88461538461539
BHIND,54.395604395604394
DUMKA,54.32527472527473
BARABANKI,54.16703296703297
KABIRDHAM,53.97802197802197
KUSHI NAGAR,52.690109890109895
JAUNPUR,52.582417582417584
THIRUVALLUR,51.56263736263735
CHANDOLI,51.50109890109891
JAGRAON,51.46428571428571
MORENA,51.25274725274725
SHAHJAHANPUR,51.12527472527473
KEONJHAR,50.54285714285715
MAHARAJGANJ,50.105494505494505
JASHPUR,50.032967032967036
GARO HILLS NORTH,49.999999999999986
NOWRANGPUR,48.917582417582416
NAYAGARH,48.261538461538464
PATAN,48.228571428571435
KHARGON,47.99450549450549
KODAGU,46.690109890109895
KANSHIRAM NAGAR,46.599999999999994
CHIRANG,45.99393939393939
LATUR,45.729670329670334
IMPHAL WEST,45.56666666666667
JHARSUGUDA,45.35604395604396
FATEHGARH,45.0945054945055
IMPHAL(EAST),44.800000000000004
RATLAM,44.67692307692308
JAISALMER,44.569230769230764
TARN TARAN,44.32747252747253
DHARWAD RURAL,44.08241758241758
GHAZIPUR,43.98681318681318
WASHIM,43.810989010989005
UDUPI,43.43076923076923
JEHANABAD,43.22197802197803
CHAMARAJNAGAR,42.927472527472524
HOSHIARPUR,42.77582417582417
JABALPUR RLY.,42.417582417582416
NUAPADA,42.3142857142857
AURAIYA,42.283516483516486
NAGAPATTINAM,42.20439560439559
DHEMAJI,41.67912087912088
JAMTARA,41.67252747252747
NAGAUR,41.62417582417583
MAU,40.84175824175824
KHIRI,40.8
KHANNA,40.46153846153845
BANDA,40.182417582417585
JALANDHAR,40.030303030303045
PANNA,39.850549450549444
SHEIKHPURA,39.068131868131864
SOLAPUR COMMR.,38.9978021978022
MOGA,38.67912087912088
TIKAMGARH,38.129670329670326
BARAGARH,38.01758241758241
DUNGARPUR,37.762637362637356
BALRAMPUR,37.437362637362625
GULBARGA,37.26373626373628
PANCHKULA,37.16043956043956
DEHRADUN,37.08131868131868
KAPURTHALA,35.82197802197802
DAVANAGERE,35.70769230769231
DAMOH,35.15824175824176
RAMANAGAR,35.0
SONBHADRA,34.94505494505494
REASI,34.87252747252747
MAJITHA,34.142857142857146
BAGALKOT,34.1076923076923
SANT KABIRNAGAR,33.89670329670329
S.T.F.,33.8
PAKUR,33.71648351648351
CHANDIGARH,33.49230769230768
GANJAM,33.270329670329666
AMBEDKAR NAGAR,32.93626373626373
THOOTHUGUDI,32.839560439560444
CHITRAKOOT DHAM,32.7032967032967
ARWAL,32.4989010989011
BUDGAM,32.38021978021978
NEEMUCH,31.95164835164835
ANDAMAN,31.696051423324146
THIRUVANNAMALAI,31.268131868131867
NAWAN SHAHR,31.178571428571423
GUMLA,31.136263736263736
KHASI HILLS EAST,30.804395604395605
JHANSI,30.6021978021978
VIJAYAWADA RLY.,29.802197802197803
GARO HILLS WEST,29.77802197802198
SECUNDERABAD RLY.,29.03296703296704
MUKTSAR,28.951648351648345
DHARWAD COMMR.,28.928571428571434
BANDIPORA,28.785714285714285
NANDURBAR,28.764835164835166
W.RLY AHMEDABAD,27.999999999999993
AMBALA RURAL,27.999999999999993
DAHOD,27.28791208791209
FATEHGARH SAHIB,27.14725274725275
HAVERI,27.059340659340663
SHEOHAR,26.334065934065933
BULDHANA,26.12307692307692
KATHUA,25.74285714285714
UNA,25.63076923076923
LALITPUR,25.307692307692307
NAGPUR RLY.,24.758241758241756
SITAPUR,24.595604395604372
CHATRA,24.56923076923077
JALORE,24.235164835164834
BARNALA,24.197802197802197
VISAKHA RURAL,23.88571428571429
SHAHDOL,23.725274725274716
OSMANABAD,23.637362637362628
SHRAWASTI,23.635164835164836
BATALA,23.595604395604397
SHEOPUR,23.36043956043956
SRP(ROURKELA),23.12637362637363
MAHOBA,22.67252747252747
KULGAM,22.351648351648354
SULTANPUR,22.285714285714274
LUDHIANA RURAL,21.964285714285708
KISHTWAR,21.285714285714285
LATEHAR,21.221978021978025
SONEPUR,20.978021978021978
BALLIA,20.843956043956045
BHOPAL RLY.,20.785714285714292
UNNAO,20.72307692307694
RAMGARH,20.369047619047617
NAVSARI,20.10549450549451
SEALDAH G.R.P.,19.94505494505495
KORIYA,19.925274725274722
AMRAVATI COMMR.,19.898901098901096
FARIDKOT,19.553846153846152
BILASPUR,19.51868131868131
CHAIBASA,19.202197802197805
THIRUNELVELI URBAN,18.890109890109887
THOUBAL,18.617582417582415
GADAG,18.347252747252742
BADAUN,18.215384615384615
MANSA,18.131868131868128
JAINTIA HILLS,18.12237762237762
BOUDH,17.883516483516484
PUNE RLY.,17.835164835164836
RATNAGIRI,17.747252747252748
CP AMRITSAR,17.499999999999996
SUKMA,17.499999999999993
KANKER,17.384615384615387
KULLU,16.516483516483518
SIRMAUR,16.503296703296705
RAYAGADA,16.320879120879123
POONCH,16.103296703296703
MANDLA,15.995604395604397
BARWANI,15.793406593406592
PUDUKOTTAI,15.701098901098904
SARAIKELA,15.448351648351645
G.R.P.JODHPUR,15.299999999999997
KARBI ANGLONG,15.057142857142857
DEOGARH,14.90769230769231
GURDASPUR,14.887912087912087
DIMAPUR,14.727472527472527
SRP(CUTTACK),14.62087912087912
NORTH,14.552998258273194
JAIPUR SOUTH,14.183333333333326
LONGDING,13.999999999999996
KRISHNAGIRI,13.672727272727277
ARIYALUR,13.437499999999998
KOZHIKODE COMMR.,13.17832167832168
KORBA,13.147252747252745
RAMBAN,13.030769230769229
MUNGER,12.806593406593404
J.P.NAGAR,12.674825174825175
RI-BHOI,12.446153846153846
RAILWAYS,12.234888255587219
SIMDEGA,11.95164835164835
HATHRAS,11.920879120879125
KHASI HILLS WEST,11.85934065934066
I.G.I. AIRPORT,11.799999999999999
RAIGAD,11.597802197802197
LOHARDAGGA,11.213186813186816
VIRUDHUNAGAR,11.153846153846159
INDORE RLY.,11.153846153846153
CAW,10.714285714285715
G.R.P.,10.448443518343149
JODHPUR RURAL,10.133333333333335
JAIPUR NORTH,10.016666666666666
PAPUM PARE,9.51098901098901
WARDHA,9.501098901098898
SHOPIAN,9.357142857142849
KHUNTI,9.083333333333337
BIZAPUR,9.041758241758238
GARO HILLS SOUTH,8.956043956043956
PATHANKOT,8.799999999999997
BARAN,8.670329670329672
CHAMBA,8.182417582417584
SILIGURI G.R.P.,8.142857142857144
SAMBA,7.785714285714285
DHALAI,7.6219780219780215
AHWA-DANG,7.406593406593406
NARMADA,7.268131868131867
LOHIT,6.931868131868132
AWANTIPORA,6.538461538461537
NARAYANPUR,6.458041958041957
MANDI,6.162637362637364
HANDWARA,5.961538461538463
TAMENGLONG,5.828571428571428
ANANTNAG,5.769230769230768
HAMIRPUR,5.302197802197802
GARO HILLS EAST,5.019780219780219
RURAL,4.7
CHENNAI RLY.,4.516483516483516
PATNA RLY.,4.456043956043956
CHANGLANG,4.373626373626373
SUBANSIRI UPPER,4.182417582417583
KAMENG WEST,4.142857142857142
CRIME BRANCH,3.9047619047619078
JAMALPUR RLY.,3.879120879120878
NAINITAL,3.736263736263736
IMPHAL EAST,3.5500000000000007
N.C.HILLS,3.5494505494505493
LAHAUL-SPITI,3.5
DODA,3.4681318681318705
